epoch,loss
0,3126.4876070022583
1,3075.6076612472534
2,3051.9411182403564
3,3040.7510282993317
4,3040.201280117035
5,3026.0610666275024
6,3038.540387868881
7,3028.4410820007324
8,3023.593403339386
9,3019.9356451034546
10,3022.9829037189484
11,3036.1367235183716
12,3018.526282787323
13,3100.063158273697
14,3046.1678109169006
15,3029.0879900455475
16,3017.7575051784515
17,3013.367161512375
18,3040.5446779727936
19,3037.5584914684296
20,3013.414747953415
21,3009.980504512787
22,3022.4576234817505
23,3021.0828108787537
24,3013.762498140335
25,3014.2223567962646
26,3006.173256635666
27,2997.7058930397034
28,3013.5229868888855
29,3001.6745352745056
30,3022.511414051056
31,3006.4120762348175
32,2997.4769027233124
33,2998.592400074005
34,3001.739467382431
35,3006.8835151195526
36,3037.0292110443115
37,3010.535393714905
38,3098.5149598121643
39,3030.6428034305573
40,3008.4701402187347
41,3013.3919715881348
42,3010.652084827423
43,3005.613049507141
44,3006.779827594757
45,3000.5683858394623
46,3036.4666781425476
47,3105.60267829895
48,3026.621414422989
49,3015.0754330158234
50,3005.634335756302
51,3020.9981899261475
52,3026.772195339203
53,3019.4719030857086
54,3001.7085058689117
55,3004.7755105495453
56,3019.2470197677612
57,3019.291019678116
58,3004.393845319748
59,3004.1430039405823
60,3009.2328329086304
61,2997.1117870807648
62,3013.9993193149567
63,2995.9233074188232
64,3016.176466703415
65,3139.763533115387
66,3248.823443889618
67,3242.8647661209106
68,3184.3371543884277
69,3181.5419239997864
70,3248.11013507843
71,3132.0917270183563
72,3147.0099284648895
73,3244.5058171749115
74,3248.078092098236
75,3248.0766134262085
76,3251.887683868408
77,3248.0946321487427
78,3248.093379497528
79,3248.092540740967
80,3248.064371585846
81,3248.1202578544617
82,3248.104061603546
83,3248.0874438285828
84,3248.184390068054
85,3248.091121673584
86,3248.126727581024
87,3248.067304134369
88,3248.087700366974
89,3248.1107454299927
90,3248.087915420532
91,3248.0878825187683
92,3248.0885214805603
93,3248.0873556137085
94,3248.087737083435
95,3248.087906360626
96,3248.087779045105
97,3248.311107158661
98,3248.2201447486877
99,3248.0876893997192
100,3248.0875296592712
101,3248.0876817703247
102,3248.0868268013
103,3248.0876965522766
104,3248.087694168091
105,3248.0876903533936
106,3248.0876870155334
107,3248.08767080307
108,3248.087438583374
109,3249.128635406494
110,3257.3062710762024
111,3248.0906043052673
112,3248.1204204559326
113,3248.0915508270264
114,3248.0850100517273
115,3248.0955967903137
116,3248.088007926941
117,3248.092276573181
118,3248.0486097335815
119,3248.089849948883
120,3248.087812900543
121,3298.791928768158
122,3248.253406524658
123,3248.1114253997803
124,3248.0475897789
125,3250.947021484375
126,3248.087938308716
127,3248.0876688957214
128,3248.087812423706
129,3248.0876936912537
130,3248.0876936912537
131,3248.087737560272
132,3248.0876970291138
133,3248.0876970291138
134,3248.0963954925537
135,3391.8989872932434
136,3248.1014351844788
137,3248.089490890503
138,3248.0876965522766
139,3248.0881447792053
140,3248.0877108573914
141,3248.088044643402
142,3248.0882530212402
143,3266.157555103302
144,3248.083514690399
145,3248.2363748550415
146,3248.0899925231934
147,3248.0898971557617
148,3248.2805676460266
149,3248.1001052856445
150,3248.0733757019043
151,3248.11332988739
152,3248.0276284217834
153,3248.0904722213745
154,3248.089566707611
155,3251.214029788971
156,3248.087429523468
157,3248.087975025177
158,3248.0884504318237
159,3248.087903022766
160,3248.090443611145
161,3248.0783791542053
162,3255.60480260849
163,3247.96138048172
164,3248.094831466675
165,3248.0979766845703
166,3248.1445875167847
167,3247.961281299591
168,3248.457010746002
169,3248.2514595985413
170,3248.100012779236
171,3248.091977596283
172,3248.0876970291138
173,3248.023048877716
174,3248.087490081787
175,3248.087404727936
176,3248.5842275619507
177,3248.02321434021
178,3248.0875511169434
179,3248.136830329895
180,3248.0875153541565
181,3248.088554382324
182,3248.0908436775208
183,3248.023115634918
184,3248.0877056121826
185,3248.295289516449
186,3248.0955963134766
187,3250.8104062080383
188,3249.4758048057556
189,3248.083342075348
190,3248.089993953705
191,3248.015907764435
192,3282.365075111389
193,3248.0898418426514
194,3248.087528705597
195,3248.0894598960876
196,3248.0803594589233
197,3248.551718235016
198,3248.2763743400574
199,3248.0877380371094
